,FGA_PG,3P_PG,3PA_PG
832,-1.2999999999999972,-1.4000000000000004,-3.8000000000000043
833,1.9000000000000057,-0.40000000000000036,-1.5
834,-4.099999999999994,-0.8000000000000007,-3.6000000000000014
835,0.5999999999999943,-3.3000000000000007,-5.399999999999999
836,0.7999999999999972,1.0,3.400000000000002
837,-3.5,2.200000000000001,2.9999999999999964
838,3.5,2.299999999999999,7.0
839,-6.1000000000000085,-2.200000000000001,-9.899999999999999
840,-1.0,-1.200000000000001,-2.8000000000000043
841,-2.6999999999999886,-2.4000000000000004,-9.300000000000004
842,0.09999999999999432,3.8000000000000007,9.5
843,-2.4000000000000057,-0.10000000000000142,2.0
844,-4.400000000000006,-0.29999999999999893,0.6000000000000014
845,-4.0,-3.5999999999999996,-6.300000000000001
846,5.200000000000003,0.5999999999999996,1.0999999999999943
847,3.5,-2.200000000000001,-2.9999999999999964
848,-2.8999999999999915,-0.5999999999999996,-4.5
849,-0.20000000000000284,-1.3999999999999986,-5.5
850,1.2000000000000028,2.0,5.899999999999999
851,1.4000000000000057,5.800000000000001,15.899999999999999
852,-1.5999999999999943,2.0,1.7999999999999972
853,-3.200000000000003,2.0,2.6999999999999993
854,-1.2999999999999972,1.299999999999999,2.1000000000000014
855,2.5,-2.0999999999999996,-6.799999999999997
856,-2.700000000000003,0.10000000000000142,-1.6000000000000014
857,3.5,1.799999999999999,5.800000000000001
858,3.200000000000003,-1.0999999999999996,-2.3000000000000043
859,-3.6000000000000085,-2.8000000000000007,-6.200000000000003
860,1.3000000000000114,0.1999999999999993,-0.4000000000000057
861,0.4000000000000057,-2.1999999999999993,-3.400000000000002
862,-3.3999999999999915,2.5,5.899999999999999
863,0.20000000000000284,-0.20000000000000107,0.1999999999999993
864,1.0,-0.5999999999999996,-4.799999999999997
865,1.7999999999999972,1.0999999999999996,4.100000000000001
866,-7.199999999999989,0.09999999999999964,-4.900000000000006
867,-0.29999999999999716,4.5,13.199999999999996
868,-0.5,-4.600000000000001,-12.8
869,-1.9000000000000057,-1.0,-1.5000000000000036
870,-5.0,0.7999999999999989,0.19999999999999574
871,-1.5999999999999943,1.8000000000000007,3.200000000000003
872,-2.5,-2.5999999999999996,-6.299999999999997
873,-2.700000000000003,-2.1999999999999993,-5.400000000000002
874,-0.3999999999999915,-0.7999999999999989,-0.09999999999999787
875,-2.799999999999997,-2.4000000000000004,-7.700000000000003
876,0.5999999999999943,-0.9000000000000004,-1.7999999999999972
877,2.5999999999999943,1.700000000000001,2.700000000000003
878,3.200000000000003,-1.6999999999999993,-3.6000000000000014
879,-5.599999999999994,-1.9000000000000004,-6.700000000000003
880,6.1000000000000085,3.299999999999999,9.3
881,4.299999999999997,2.8000000000000007,5.800000000000001
882,2.0999999999999943,-0.8000000000000007,-1.0000000000000036
883,-6.400000000000006,0.8999999999999986,1.2999999999999972
884,0.7999999999999972,1.299999999999999,2.8000000000000043
885,0.7000000000000028,-2.5999999999999996,-6.700000000000003
886,-0.30000000000001137,-0.5999999999999996,2.3000000000000043
887,-5.599999999999994,0.5,-3.1000000000000014
888,-0.5,1.1999999999999993,4.300000000000001
889,2.4000000000000057,-0.29999999999999893,-0.29999999999999716
890,-1.1000000000000085,-3.0,-10.099999999999994
891,0.7000000000000028,-0.20000000000000107,-3.3000000000000007
892,-0.4000000000000057,0.7999999999999989,0.3999999999999986
893,-5.299999999999997,-1.5999999999999996,-4.300000000000004
894,2.0,0.7999999999999989,1.6000000000000014
895,1.5999999999999943,-2.0,-1.7999999999999972
896,0.4000000000000057,-2.9000000000000004,-6.600000000000001
897,2.0999999999999943,0.5999999999999996,2.0
898,3.6000000000000085,2.8000000000000007,6.200000000000003
899,-2.799999999999997,-1.9000000000000004,-1.8000000000000007
900,3.3000000000000114,-2.0,-2.599999999999998
901,-1.4000000000000057,-5.800000000000001,-15.899999999999999
902,-2.1000000000000085,-1.6999999999999993,-1.7999999999999972
903,-0.4000000000000057,1.0999999999999996,5.0
904,-6.799999999999997,-0.29999999999999893,-3.8000000000000043
905,-1.4000000000000057,-3.1000000000000014,-6.399999999999999
906,1.0999999999999943,0.6999999999999993,1.1999999999999993
907,-3.5999999999999943,1.4000000000000004,5.599999999999998
908,-0.4000000000000057,-0.5,-3.6999999999999957
909,0.6000000000000085,0.6999999999999993,-2.1000000000000014
910,-4.6000000000000085,-1.799999999999999,-3.900000000000002
911,0.7000000000000028,0.5,-0.9000000000000021
912,-0.7000000000000028,-2.6000000000000014,-5.300000000000001
913,0.8999999999999915,-0.20000000000000107,-0.20000000000000284
914,-3.200000000000003,0.29999999999999893,1.6000000000000014
915,-1.6999999999999886,-1.200000000000001,-2.400000000000002
916,0.6000000000000085,1.5999999999999996,3.400000000000002
917,2.799999999999997,3.6999999999999993,11.100000000000001
918,-1.0,2.0,6.799999999999997
919,4.700000000000003,-3.5999999999999996,-6.0
920,-4.3999999999999915,2.5,2.799999999999997
921,3.0,1.1000000000000014,4.600000000000001
922,-2.200000000000003,1.3000000000000007,3.8999999999999986
923,-0.09999999999999432,0.29999999999999893,0.6999999999999957
924,-3.0,1.1999999999999993,3.8999999999999986
925,1.0,3.200000000000001,11.099999999999994
926,0.09999999999999432,1.1999999999999993,3.1000000000000014
927,-0.29999999999999716,-3.4000000000000004,-5.699999999999999
928,0.4000000000000057,0.3000000000000007,-3.0
929,0.5,2.200000000000001,9.2
930,4.200000000000003,-0.8000000000000007,-0.9000000000000021
931,0.19999999999998863,2.1999999999999993,7.600000000000001
932,2.799999999999997,2.4000000000000004,7.700000000000003
933,7.799999999999997,0.5999999999999996,2.8000000000000043
934,5.0,-0.7999999999999989,-0.19999999999999574
935,-1.0,4.4,10.399999999999999
936,-3.1000000000000085,-1.4000000000000004,-2.099999999999998
937,-2.6000000000000085,-2.5,-7.200000000000003
938,-4.799999999999997,-3.3000000000000007,-10.0
939,1.1000000000000085,-1.1999999999999993,-1.6999999999999957
940,-1.0,0.29999999999999893,1.4000000000000021
941,0.4000000000000057,-1.0999999999999996,-5.0
942,0.5,-1.0,-0.3000000000000007
943,3.1000000000000085,0.0,-0.9000000000000057
944,1.4000000000000057,0.7000000000000011,2.799999999999997
945,-0.6000000000000085,-0.6999999999999993,2.1000000000000014
946,1.1000000000000085,1.0,1.8000000000000043
947,4.5,2.0,4.900000000000002
